Geographic Area,Pop.2019
"Toledo, OH",641816
"Topeka, KS",231969
"Trenton-Princeton, NJ",367430
"Tucson, AZ",1047279
"Tulsa, OK",998626
"Tuscaloosa, AL",252047
"Twin Falls, ID",111290
"Tyler, TX",232751
"Urban Honolulu, HI",974563
"Utica-Rome, NY",289990
"Valdosta, GA",147292
"Vallejo, CA",447643
"Victoria, TX",99742
"Vineland-Bridgeton, NJ",149527
"Virginia Beach-Norfolk-Newport News, VA-NC",1768901
"Visalia, CA",466195
"Waco, TX",273920
"Walla Walla, WA",60760
"Warner Robins, GA",185409
"Washington-Arlington-Alexandria, DC-VA-MD-WV",6280487
"Frederick-Gaithersburg-Rockville, MD Metro Division",1310235
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Division",4970252
"Waterloo-Cedar Falls, IA",168522
"Watertown-Fort Drum, NY",109834
"Wausau-Weston, WI",163285
"Weirton-Steubenville, WV-OH",116074
"Wenatchee, WA",120629
"Wheeling, WV-OH",138948
"Wichita, KS",640218
"Wichita Falls, TX",151254
"Williamsport, PA",113299
"Wilmington, NC",297533
"Winchester, VA-WV",140566
"Winston-Salem, NC",676008
"Worcester, MA-CT",947404
"Yakima, WA",250873
"York-Hanover, PA",449058
"Youngstown-Warren-Boardman, OH-PA",536081
"Yuba City, CA",175639
"Yuma, AZ",213787
Puerto Rico,3193694
In Metropolitan Statistical Area,3077600
"Aguadilla-Isabela, PR",289289
"Arecibo, PR",174606
"Guayama, PR",72914
"Mayagüez, PR",94975
"Ponce, PR",215295
"San Germán, PR",121464
"San Juan-Bayamón-Caguas, PR",2023227
"Yauco, PR",85830
